ds,yhat
1959-04-01,416.6678055909927
1959-05-01,428.7721929030744
1959-06-01,459.48089803269505
1959-07-01,503.7795178689453
1959-08-01,504.0367683319063
1959-09-01,451.9428177541489
1959-10-01,419.6458124875366
1959-11-01,386.7064997136799
1959-12-01,413.4838888860156
1960-01-01,430.7121693672725
1960-02-01,416.70963615313985
1960-03-01,451.0293860362057
1960-04-01,460.26173323388053
1960-05-01,457.0003167905707
1960-06-01,501.7036549464405
1960-07-01,544.1692450424473
1960-08-01,537.7941580965678
1960-09-01,492.28744053559694
1960-10-01,457.79413621742617
1960-11-01,418.37063024027515
1960-12-01,451.90397058979903
1961-01-01,464.29527570477495
1961-02-01,461.902692090395
1961-03-01,494.45193435205096
1961-04-01,492.30665424319807
1961-05-01,493.793151662434
1961-06-01,537.1923906614446
1961-07-01,577.2816232094525
1961-08-01,572.7523127115143
1961-09-01,533.3957026112228
1961-10-01,491.39981251190375
1961-11-01,460.8880480570182
1961-12-01,493.69431131059235
1962-01-01,499.34885267331447
1962-02-01,496.35651816432903
1962-03-01,532.495928727835
1962-04-01,525.1538632853832
1962-05-01,529.5889338776714
1962-06-01,577.3035257755033
1962-07-01,611.1970696463372
1962-08-01,614.2081248589966
1962-09-01,566.764359537315
1962-10-01,527.2028751524632
1962-11-01,498.05211575596917
1962-12-01,527.705033307029
1963-01-01,533.3589334351467
1963-02-01,535.4769997898791
1963-03-01,575.1736021286777
1963-04-01,560.1702203265994
1963-05-01,571.8977400033813
1963-06-01,609.6609640526414
1963-07-01,647.2819326045528
1963-08-01,650.2734404388782
1963-09-01,600.9488198567907
1963-10-01,562.0224765906366
1963-11-01,539.8755428105205
1963-12-01,562.4898909886591
1964-01-01,573.837716467579
1964-02-01,566.889702173089
1964-03-01,600.0353881388495
1964-04-01,603.3872803341856
1964-05-01,610.1693598874107
1964-06-01,645.206069682046
1964-07-01,687.2947921427567
1964-08-01,687.9742241165158
1964-09-01,634.6641046386959
1964-10-01,604.0308083243973
1964-11-01,567.3766323429205
1964-12-01,594.2806346928978
1965-01-01,617.4643188016116
1965-02-01,605.4051068260035
1965-03-01,637.9543490876592
1965-04-01,638.5433263501711
1965-05-01,643.9732176823813
1965-06-01,679.5690547645451
1965-07-01,723.5182953164227
1965-08-01,721.7583148141606
1965-09-01,676.521249711531
1965-10-01,644.5688556087431
1965-11-01,604.3904627926265
1965-12-01,636.8198584109008
1966-01-01,649.5289186932637
1966-02-01,638.7331822674287
1966-03-01,674.8725928309318
1966-04-01,678.3229063822242
1966-05-01,678.5949359803167
1966-06-01,720.4290728758144
1966-07-01,764.3661127431764
1966-08-01,757.7105395946037
1966-09-01,713.0010316442881
1966-10-01,677.3829411724121
1966-11-01,640.4287798590657
1966-12-01,673.9417054140023
1967-01-01,682.3649355377909
1967-02-01,678.6025468901868
1967-03-01,718.2991492289847
1967-04-01,710.3502863465491
1967-05-01,715.4001547389895
1967-06-01,755.8976361596153
1967-07-01,797.4619986245013
1967-08-01,792.6501045419766
1967-09-01,754.11786295363
1967-10-01,711.0284786932816
1967-11-01,683.0010899108279
1967-12-01,715.6589340854982
1968-01-01,717.3401312031865
1968-02-01,713.1263742800597
1968-03-01,753.2044312356883
1968-04-01,746.8896950697922
1968-05-01,753.2949069877182
1968-06-01,795.3861357019946
1968-07-01,830.7972068783644
1968-08-01,834.2108962234882
1968-09-01,783.6701067413405
1968-10-01,746.4074724274951
1968-11-01,720.5456754397595
1968-12-01,743.2866367955431
1969-01-01,760.5898659019188
1969-02-01,755.585172845952
1969-03-01,788.1344151076087
1969-04-01,780.9199904532687
1969-05-01,790.209889789355
1969-06-01,828.575056867189
1969-07-01,865.8949594195205
1969-08-01,874.9273579109977
1969-09-01,820.0236644471386
1969-10-01,787.6944027090522
1969-11-01,754.5705288125741
1969-12-01,780.3222731465083
1970-01-01,795.7655908002348
1970-02-01,787.7391843700755
1970-03-01,823.8785949335763
1970-04-01,821.4484534825319
1970-05-01,831.7639790771544
1970-06-01,863.9314876114214
1970-07-01,907.4916598434837
1970-08-01,907.8906056145529
1970-09-01,855.3776957473873
1970-10-01,823.619613279383
1970-11-01,789.4347819617111
1970-12-01,816.3183695171008
1971-01-01,835.5339786346291
1971-02-01,822.104961625794
1971-03-01,861.8015639645929
1971-04-01,856.5869584535211
1971-05-01,865.5802207589389
1971-06-01,898.2743002627134
1971-07-01,943.6986707314735
1971-08-01,941.6561066446208
1971-09-01,897.243410053938
1971-10-01,864.1975217901195
1971-11-01,826.5035046464355
1971-12-01,858.784481185806
1972-01-01,867.5201972231346
1972-02-01,855.5030383831592
1972-03-01,896.3299783359972
1972-04-01,897.0697610897417
1972-05-01,896.7973217233258
1972-06-01,941.6228078089664
1972-07-01,980.9772728983127
1972-08-01,976.5875603265862
1972-09-01,936.8391498381787
1972-10-01,895.4134745301396
1972-11-01,863.6712225400671
1972-12-01,896.455679892382
1973-01-01,904.0922806375265
1973-02-01,901.8218449529235
1973-03-01,934.371087214581
1973-04-01,929.9259925559139
1973-05-01,932.5865538924529
1973-06-01,981.7440999640268
1973-07-01,1014.9009615221654
1973-08-01,1018.052905011306
1973-09-01,970.2037304670865
1973-10-01,931.1968174446603
1973-11-01,900.8072009195453
1973-12-01,930.5023391664554
1974-01-01,938.1422549033347
1974-02-01,940.9082274669149
1974-03-01,977.0476380304135
1974-04-01,964.9508682181395
1974-05-01,974.8895261774625
1974-06-01,1014.1115536313716
1974-07-01,1050.9940745790911
1974-08-01,1054.1272777215247
1974-09-01,1004.3836978500308
1974-10-01,965.9962773824805
1974-11-01,942.6038250585492
1974-12-01,965.3243716197443
1975-01-01,978.659525734938
1975-02-01,972.2850276457426
1975-03-01,1011.9816299845435
1975-04-01,998.9636225566196
1975-05-01,1011.8168928659098
1975-06-01,1047.280302365359
1975-07-01,1086.0753348345727
1975-08-01,1094.8251497414592
1975-09-01,1040.745824789546
1975-10-01,1007.3230688904258
1975-11-01,976.6835706663842
1975-12-01,1002.2868959214146
1976-01-01,1013.7568693301062
1976-02-01,1004.5090404858038
1976-03-01,1039.8323930716053
1976-04-01,1043.3064331967128
1976-05-01,1046.9773877432744
1976-06-01,1083.9994719120637
1976-07-01,1127.2139450052844
1976-08-01,1125.593562429231
1976-09-01,1079.9646969384878
1976-10-01,1048.582517626978
1976-11-01,1007.1736372756748
1976-12-01,1039.5812269926894
1977-01-01,1054.2723466574744
1977-02-01,1044.198509056021
1977-03-01,1076.7477513176798
1977-04-01,1083.0950356527508
1977-05-01,1081.5925559950995
1977-06-01,1124.8696470643347
1977-07-01,1168.0700046190043
1977-08-01,1161.5553197469133
1977-09-01,1116.4404025740585
1977-10-01,1081.3768834646073
1977-11-01,1043.1838650226434
1977-12-01,1076.7390112734283
1978-01-01,1087.148257005981
1978-02-01,1084.0337745672236
1978-03-01,1120.1731851307195
1978-04-01,1115.130934238086
1978-05-01,1118.3919409130685
1978-06-01,1160.348225738343
1978-07-01,1201.1741405990374
1978-08-01,1196.5039418246229
1978-09-01,1157.55274094687
1978-10-01,1115.002279485126
1978-11-01,1085.7293721588567
1978-12-01,1118.4934147165839
1979-01-01,1122.1619404705439
1979-02-01,1118.5216997527127
1979-03-01,1158.2183020915143
1979-04-01,1147.9696246592632
1979-05-01,1154.193556969007
1979-06-01,1200.4493454621934
1979-07-01,1235.0813369372167
1979-08-01,1237.950696841767
1979-09-01,1190.925890809493
1979-10-01,1150.8254836260346
1979-11-01,1122.9202427733553
1979-12-01,1152.466961941363
1980-01-01,1156.1335334332048
1980-02-01,1157.678083582641
1980-03-01,1190.0124590915575
1980-04-01,1185.683097299809
1980-05-01,1193.214059850249
1980-06-01,1233.0054740147107
1980-07-01,1269.5906091083841
1980-08-01,1278.7626055260685
1980-09-01,1223.4671116740967
1980-10-01,1191.708064727286
1980-11-01,1157.3537032956265
1980-12-01,1183.0836417282962
