,ds,yhat
67,1954-08-01,318.98022184692456
68,1954-09-01,273.771875272905
69,1954-10-01,241.1345796389449
70,1954-11-01,202.06036944374938
71,1954-12-01,234.3172141974261
72,1955-01-01,244.905584363323
73,1955-02-01,233.32726722094574
74,1955-03-01,273.02327395464744
75,1955-04-01,273.56631609621587
76,1955-05-01,275.6265692634512
77,1955-06-01,316.00124333437697
78,1955-07-01,360.6760926576088
79,1955-08-01,353.8781561922093
80,1955-09-01,309.5869395225827
81,1955-10-01,273.4292797920466
82,1955-11-01,237.71996901379669
83,1955-12-01,271.12604972558904
84,1956-01-01,277.5612832043509
85,1956-02-01,273.2247103426911
86,1956-03-01,308.6695859468495
87,1956-04-01,307.10888614202565
88,1956-05-01,308.0098639147903
89,1956-06-01,358.5929887356051
90,1956-07-01,391.01443605696784
91,1956-08-01,394.3053091349234
92,1956-09-01,346.06366565928596
93,1956-10-01,307.62632045075776
94,1956-11-01,276.0055478471604
95,1956-12-01,305.67823321542596
96,1957-01-01,315.2995397914283
97,1957-02-01,318.78673485474553
98,1957-03-01,351.33536624253196
99,1957-04-01,342.13489088939457
100,1957-05-01,350.29838508525324
101,1957-06-01,390.96269021559937
102,1957-07-01,427.10787417581804
103,1957-08-01,430.38128909742926
104,1957-09-01,380.2316235060922
105,1957-10-01,342.3981197261621
106,1957-11-01,317.7661090346795
107,1957-12-01,340.5281976734106
108,1958-01-01,355.84866615843345
109,1958-02-01,350.12137303916006
110,1958-03-01,386.26049856605596
111,1958-04-01,376.14878755170054
112,1958-05-01,387.2128907471725
113,1958-06-01,424.1347880750317
114,1958-07-01,462.1910675436934
115,1958-08-01,471.08257775868765
116,1958-09-01,416.584293517366
117,1958-10-01,383.7004604168547
118,1958-11-01,351.8154436489931
119,1958-12-01,377.5249672870819
120,1959-01-01,390.98226933204825
121,1959-02-01,382.3079566930403
122,1959-03-01,422.00455903183916
123,1959-04-01,416.66780559099266
124,1959-05-01,428.7721929030743
125,1959-06-01,459.48089803269517
126,1959-07-01,503.77951786894533
127,1959-08-01,504.0367683319063
128,1959-09-01,451.94281775414885
129,1959-10-01,419.6458124875366
130,1959-11-01,386.7064997136799
131,1959-12-01,413.4838888860156
132,1960-01-01,430.7121693672725
133,1960-02-01,416.70963615313997
134,1960-03-01,451.02938603620566
135,1960-04-01,460.2617332338805
136,1960-05-01,457.00031679057065
137,1960-06-01,501.7036549464405
138,1960-07-01,544.1692450424473
139,1960-08-01,537.7941580965678
140,1960-09-01,492.28744053559694
141,1960-10-01,457.7941362174262
142,1960-11-01,418.3706302402752
143,1960-12-01,451.90397058979903
144,1961-01-01,464.29527570477495
145,1961-02-01,461.90269209039496
146,1961-03-01,494.45193435205096
147,1961-04-01,492.30665424319807
148,1961-05-01,493.793151662434
149,1961-06-01,537.1923906614446
150,1961-07-01,577.2816232094525
151,1961-08-01,572.7523127115143
152,1961-09-01,533.3957026112229
153,1961-10-01,491.39981251190375
154,1961-11-01,460.8880480570182
155,1961-12-01,493.69431131059235
156,1962-01-01,499.3488526733145
157,1962-02-01,496.3565181643289
158,1962-03-01,532.495928727835
159,1962-04-01,525.1538632853832
160,1962-05-01,529.5889338776714
161,1962-06-01,577.3035257755032
162,1962-07-01,611.1970696463372
163,1962-08-01,614.2081248589967
164,1962-09-01,566.7643595373149
165,1962-10-01,527.2028751524631
166,1962-11-01,498.05211575596917
167,1962-12-01,527.705033307029
168,1963-01-01,533.3589334351467
169,1963-02-01,535.4769997898792
170,1963-03-01,575.1736021286778
171,1963-04-01,560.1702203265994
172,1963-05-01,571.8977400033813
173,1963-06-01,609.6609640526414
174,1963-07-01,647.2819326045528
175,1963-08-01,650.2734404388782
176,1963-09-01,600.9488198567908
177,1963-10-01,562.0224765906366
178,1963-11-01,539.8755428105205
179,1963-12-01,562.4898909886591
180,1964-01-01,573.837716467579
181,1964-02-01,566.889702173089
182,1964-03-01,600.0353881388495
183,1964-04-01,603.3872803341857
184,1964-05-01,610.1693598874108
185,1964-06-01,645.206069682046
186,1964-07-01,687.2947921427568
187,1964-08-01,687.9742241165158
188,1964-09-01,634.6641046386959
189,1964-10-01,604.0308083243973
190,1964-11-01,567.3766323429205
191,1964-12-01,594.2806346928977
192,1965-01-01,617.4643188016116
193,1965-02-01,605.4051068260035
194,1965-03-01,637.9543490876592
195,1965-04-01,638.5433263501711
